Node1,Node2,Weight,Eigenvector Centrality Min,Eigenvector Centrality Max,Betweenness Centrality Min,Betweenness Centrality Max,Degree Centrality Min,Degree Centrality Max,Local Rank j,Local Rank i,Variance,Normalized Weight,LP,Label
1,11,297,0.16206827653015013,0.20589884939551945,0.07311772518364348,0.185536762417584,0.031446540880503145,0.03773584905660378,1.0,0.8333333333333334,0.2750853119116527,0.939873417721519,0.0,0.0
1,15,306,0.20589884939551945,0.2274423593532488,0.07311772518364348,0.12650958273122112,0.03773584905660378,0.04402515723270441,1.0,1.0,0.30577225110408984,0.9683544303797469,0.0,0.0
1,103,194,0.18325445115921807,0.20589884939551945,0.06715575466471095,0.07311772518364348,0.03773584905660378,0.04402515723270441,0.8571428571428571,0.3333333333333333,0.03941669910921726,0.6139240506329114,0.0,0.0
1,135,185,0.11571680020338895,0.20589884939551945,0.035134241869374416,0.07311772518364348,0.031446540880503145,0.03773584905660378,0.6,0.16666666666666666,0.028918832180840386,0.5854430379746836,1.0,1.0
1,149,200,0.0884331858468621,0.20589884939551945,0.02539762955334963,0.07311772518364348,0.012578616352201259,0.03773584905660378,1.0,0.5,0.04731657493039976,0.6329113924050633,0.0,0.0
1,158,200,0.06879411218970927,0.20589884939551945,0.001953135366080195,0.07311772518364348,0.012578616352201259,0.03773584905660378,1.0,0.6666666666666666,0.04731657493039976,0.6329113924050633,0.0,0.0
2,71,201,0.046676328138716035,0.1394525187035531,0.0140116232784014,0.038995479836177224,0.01886792452830189,0.04402515723270441,1.0,0.7142857142857143,0.048703321845958124,0.6360759493670886,0.5,1.0
2,73,200,0.06576329018518733,0.1394525187035531,0.007292413024440728,0.038995479836177224,0.01886792452830189,0.04402515723270441,1.0,0.5714285714285714,0.04731657493039976,0.6329113924050633,0.0,0.0
2,94,192,0.10152565920987384,0.1394525187035531,0.013300427248361328,0.038995479836177224,0.01886792452830189,0.04402515723270441,1.0,0.14285714285714285,0.036943637901077526,0.6075949367088608,0.0,0.0
2,100,202,0.08489798375898139,0.1394525187035531,0.007748852267600774,0.038995479836177224,0.01886792452830189,0.04402515723270441,1.0,0.8571428571428571,0.05011009760304834,0.6392405063291139,0.0,1.0
2,130,206,0.04595019792854827,0.1394525187035531,0.0011676352732001166,0.038995479836177224,0.012578616352201259,0.04402515723270441,1.0,1.0,0.05593748904672727,0.6518987341772152,0.0,0.0
2,153,199,0.1323889750180747,0.1394525187035531,0.038995479836177224,0.07907696157039361,0.031446540880503145,0.04402515723270441,1.0,0.2857142857142857,0.04594985685637316,0.629746835443038,0.5,0.0
2,155,199,0.09557460544676952,0.1394525187035531,0.01698024750329503,0.038995479836177224,0.025157232704402517,0.04402515723270441,1.0,0.42857142857142855,0.04594985685637316,0.629746835443038,0.0,0.0
3,67,195,0.020605609468513076,0.04927803269644895,0.0010132372205455557,0.004622291701345916,0.012578616352201259,0.01886792452830189,1.0,0.3333333333333333,0.04068327297558479,0.6170886075949367,0.0,0.0
3,83,200,0.04927803269644895,0.13584037351046743,0.004622291701345916,0.041903217924235354,0.01886792452830189,0.04402515723270441,0.8571428571428571,0.6666666666666666,0.04731657493039976,0.6329113924050633,1.0,1.0
3,130,201,0.04595019792854827,0.04927803269644895,0.0011676352732001166,0.004622291701345916,0.012578616352201259,0.01886792452830189,0.5,1.0,0.048703321845958124,0.6360759493670886,0.0,0.0
4,50,207,0.020704784033311927,0.047453233308482036,0.0,0.0029190881830002914,0.012578616352201259,0.01886792452830189,1.0,1.0,0.057444409011476516,0.6550632911392406,0.0,0.0
4,83,204,0.047453233308482036,0.13584037351046743,0.0029190881830002914,0.041903217924235354,0.01886792452830189,0.04402515723270441,1.0,0.6666666666666666,0.05298373564182419,0.6455696202531646,1.0,1.0
