Node1,Node2,Weight,Eigenvector Centrality Min,Eigenvector Centrality Max,Betweenness Centrality Min,Betweenness Centrality Max,Degree Centrality Min,Degree Centrality Max,Local Rank j,Local Rank i,Variance,Normalized Weight,LP,Label
1,11,293,0.14120266274772478,0.14558752786184972,0.17861973937923303,0.2675436612145473,0.05063291139240506,0.06329113924050633,1.0,1.0,0.23369140593861482,0.973421926910299,0.0,0.0
1,23,205,0.13446097601242796,0.14558752786184972,0.04633519317063621,0.17861973937923303,0.05063291139240506,0.06329113924050633,0.6,0.75,0.0365030011012878,0.6810631229235881,0.0,0.0
1,45,204,0.14558752786184972,0.20726255338332003,0.17861973937923303,0.26302014909609844,0.05063291139240506,0.0759493670886076,0.8333333333333334,0.5,0.03524455288695609,0.6777408637873754,1.0,1.0
1,53,200,0.09748504172166922,0.14558752786184972,0.040219133890019965,0.17861973937923303,0.0379746835443038,0.05063291139240506,1.0,0.25,0.03043150814499225,0.6644518272425249,0.0,0.0
2,51,188,0.049549350263191565,0.09898608441596303,0.01458400952071838,0.04769014389267553,0.02531645569620253,0.0379746835443038,1.0,0.3333333333333333,0.018111555826585163,0.6245847176079734,0.0,0.0
2,52,197,0.09898608441596303,0.31846445297676534,0.04769014389267553,0.15994806880882825,0.0379746835443038,0.08860759493670886,1.0,0.6666666666666666,0.027053510109650455,0.654485049833887,1.0,1.0
2,54,209,0.026615890614854636,0.09898608441596303,0.02596559558584875,0.04769014389267553,0.02531645569620253,0.0379746835443038,1.0,1.0,0.04175754207397757,0.6943521594684385,1.0,1.0
3,18,296,0.028449136494303466,0.05365683876016141,0.02341231201990696,0.02710519672544989,0.02531645569620253,0.05063291139240506,1.0,1.0,0.24342694969640996,0.9833887043189369,1.0,1.0
3,40,199,0.028449136494303466,0.05976008005107746,0.02341231201990696,0.03070431678026615,0.02531645569620253,0.05063291139240506,1.0,0.5,0.02928343398834202,0.6611295681063123,0.0,0.0
4,34,204,0.05666548855199961,0.062444294878830776,0.0347909474491753,0.11736449204803635,0.0379746835443038,0.0379746835443038,0.6666666666666666,1.0,0.03524455288695609,0.6777408637873754,0.0,0.0
4,43,198,0.05666548855199961,0.14925252978913425,0.10494002012989354,0.11736449204803635,0.0379746835443038,0.05063291139240506,1.0,0.6666666666666666,0.02815743464322809,0.6578073089700996,1.0,1.0
4,73,197,0.014213459971345386,0.05666548855199961,0.0,0.11736449204803635,0.012658227848101266,0.0379746835443038,1.0,0.3333333333333333,0.027053510109650455,0.654485049833887,0.0,0.0
5,46,203,0.004289520813390597,0.01710012076745457,0.0,0.012982797792924375,0.012658227848101266,0.02531645569620253,1.0,1.0,0.034008179484160676,0.6744186046511628,1.0,1.0
6,9,293,0.05823922492253398,0.07992215881835268,0.012352345263737668,0.04145648069698702,0.02531645569620253,0.0379746835443038,1.0,1.0,0.23369140593861482,0.973421926910299,0.0,0.0
6,78,200,0.05823922492253398,0.15225705543877968,0.012352345263737668,0.05886387405374747,0.02531645569620253,0.0759493670886076,1.0,0.5,0.03043150814499225,0.6644518272425249,1.0,1.0
7,24,198,0.03926327790519745,0.04703168400935333,0.0016012117277940062,0.002085116009166642,0.02531645569620253,0.02531645569620253,1.0,0.5,0.02815743464322809,0.6578073089700996,0.0,0.0
7,68,198,0.03926327790519745,0.10949132070379443,0.002085116009166642,0.027146833475947405,0.02531645569620253,0.05063291139240506,1.0,1.0,0.02815743464322809,0.6578073089700996,1.0,1.0
8,23,200,0.08933511085802842,0.13446097601242796,0.02581782961529797,0.04633519317063621,0.05063291139240506,0.06329113924050633,0.4,0.75,0.03043150814499225,0.6644518272425249,0.0,0.0
8,25,189,0.08933511085802842,0.12041038288693211,0.02581782961529797,0.05196271145638234,0.05063291139240506,0.05063291139240506,1.0,0.25,0.019016807056336127,0.627906976744186,0.0,0.0
